1 0.000003
2 0.000009
3 0.000009
4 0.000009
5 0.000009
6 0.000025
7 0.000155
8 0.001791
9 0.008310
10 0.024161
11 0.046994
12 0.073682
13 0.100766
14 0.125095
15 0.146897
16 0.165324
17 0.181456
18 0.194424
19 0.205465
20 0.214794
21 0.222707
22 0.229724
23 0.235420
24 0.240857
25 0.245291
26 0.248234
27 0.251303
28 0.253759
29 0.256490
30 0.259108
31 0.260745
32 0.261379
33 0.262921
34 0.263533
35 0.264914
36 0.265542
37 0.266605
38 0.266791
39 0.267548
40 0.268011
41 0.268582
42 0.269216
43 0.270184
44 0.269989
45 0.269935
46 0.270705
47 0.270963
48 0.270288
49 0.270755
50 0.271288
51 0.270604
52 0.271197
53 0.270913
54 0.271001
55 0.271427
56 0.271398
57 0.271279
58 0.271616
59 0.272143
60 0.272316
61 0.271884
62 0.272420
63 0.272322
64 0.272108
65 0.272496
66 0.272244
67 0.272218
68 0.272146
69 0.272546
70 0.272884
71 0.272874
72 0.272524
73 0.272597
74 0.273038
75 0.272994
76 0.272619
77 0.272313
78 0.271786
79 0.272250
80 0.272433
81 0.272537
82 0.272360
83 0.272436
