1 8
2 34
3 162
4 942
5 3396
6 9009
7 16745
8 25141
9 33368
10 40852
11 47505
12 53042
13 57841
14 61971
15 65302
16 68249
17 70554
18 72537
19 74158
20 75721
21 77127
22 78208
23 79395
24 80229
25 80913
26 81416
27 81833
28 82190
29 82701
30 82947
31 83267
32 83493
33 83745
34 83802
35 84053
36 84286
37 84557
38 84794
39 85003
40 85025
41 85049
42 85220
43 85339
44 85224
45 85310
46 85326
47 85378
48 85249
49 85288
50 85380
51 85565
52 85521
53 85489
54 85458
55 85495
56 85553
57 85660
58 85859
59 85741
60 85577
61 85620
62 85737
63 85851
64 85864
65 85842
66 85986
67 85911
68 85945
69 85922
70 86048
71 86026
72 85921
73 85882
74 85876
75 85838
76 85903
77 85922
78 85959
79 86021
80 85986
81 85894
82 85979
83 86083
